title,metacritic,rotten_tomatoes
The Cave,30,11.1
Exorcist: The Beginning,30,11.15
National Security,31,11.1
Perfect Stranger,31,11.15
The Hills Have Eyes II,32,11
Alex & Emma,32,11.05
After Earth,33,11.05
Chill Factor,33,11.1
Blood and Chocolate,33,11.15
The Stepfather,33,11.2
The Man,33,11.25
End of Days,33,11.3
There Be Dragons,33,11.35
The Longest Week,34,11
Body Shots,36,11
Gone,36,11.05
Garfield 2,37,11.05
The Damned,40,11
Good People,42,11.1
Apart,43,11
The Architect,47,11
Saw V,20,12
Eight Crazy Nights,23,12
Get Carter,24,12.05
Double Take,25,12
Pawn Shop Chronicles,26,12.1
The Spy Next Door,27,12.1
Timeline,28,12
The Texas Chainsaw Massacre: The Beginning,29,12.05
Alex Cross,30,12
Red Dawn,31,12
Play It to the Bone,32,12
Plastic,32,12.05
Catch That Kid,33,12.1
In My Sleep,33,12.15
The Messengers,34,12.05
Slow Burn,34,12.1
Ma m?re,35,12
Against the Ropes,36,12.05
The Pink Panther 2,36,12.1
Love Ranch,37,12.05
An American Haunting,38,12
The Mysteries of Pittsburgh,38,12.05
Tanner Hall,40,12
Stella Street,41,12.05
The Chamber,45,12
The Guilt Trip,50,12
Screwed,7,13
Hush,18,13
Lost & Found,19,13
Reasonable Doubt,19,13.05
The Informers,20,13
Vegas Vacation,20,13.05
The Body,21,13
The Moment,22,13.05
The Bounty Hunter,22,13.1
Sorority Boys,25,13
The Big Bang,25,13.05
R.I.P.D.,25,13.1
September Dawn,25,13.15
Phantoms,26,13
Simply Irresistible,27,13.05
Hello Herman,27,13.1
Waking Up in Reno,28,13.05
Mercy Streets,28,13.1
Love and Honor,28,13.15
Just My Luck,29,13.15
Louder Than Words,29,13.2
Slutty Summer,31,13
The Mummy: Tomb of the Dragon Emperor,31,13.05
The Secret Lives of Dorks,32,13.1
Brightest Star,32,13.15
The Dukes of Hazzard,33,13.05
Welcome to Mooseport,33,13.1
The Greening of Whitney Brown,33,13.15
High School High,33,13.2
The Caller,33,13.25
54,33,13.3
Air America,33,13.35
The Lifeguard,34,13.1
Stealth,35,13.05
Hide and Seek,35,13.1
Rebound,36,13.05
Holding Trevor,36,13.1
A Promise,36,13.15
The Tollbooth,36,13.2
Love Don't Cost a Thing,37,13
Haven,37,13.05
Hotel Noir,37,13.1
Mr. Woodcock,41,13
Whiteboyz,45,13.05
The Distinguished Gentleman,45,13.1
Company Man,18,14
K-11,21,14
Molly,21,14.05
3000 Miles to Graceland,21,14.1
Pok?mon 4: The Movie,25,14.05
The One,25,14.1
Innocence,26,14
Shadow Hours,26,14.05
View from the Top,27,14.05
Beverly Hills Ninja,27,14.1
Wild Hogs,27,14.15
Rage,28,14
A Good Day to Die Hard,28,14.05
Ghost Ship,28,14.1
As Cool as I Am,28,14.15
The Time Being,29,14.1
Without a Paddle,29,14.15
Zookeeper,30,14.15
Thir13en Ghosts,30,14.2
I Love You Beth Cooper,32,14.05
It's All About Love,32,14.1
Cat Run,33,14.15
The Smurfs 2,34,14.05
Red Planet,34,14.1
My Best Friend's Girl,34,14.15
Pok?mon: The First Movie - Mewtwo Strikes Back,35,14
Dorfman in Love,35,14.05
Made of Honor,37,14.05
Gothika,38,14
Free Ride,41,14
May I Kill U?,7,15
The Hillside Strangler,19,15
The Trumpet of the Swan,27,15.1
Pokemon: Power of One,28,15.05
Scary Movie 2,29,15
Over Her Dead Body,30,15
Godzilla,32,15.05
The Brothers Solomon,32,15.1
Sleepover,33,15
Raise Your Voice,33,15.05
The Other Man,34,15.1
A Nightmare on Elm Street,35,15
Iowa,35,15.05
Smokers Only,35,15.1
Winnie Mandela,37,15
Random Hearts,38,15.05
White Chicks,41,15
The Adventurer: The Curse of the Midas Box,41,15.05
Stoned,41,15.1
The Romantics,43,15
Whatever It Takes,20,16
What Goes Up,22,16.05
Beautiful,23,16
When in Rome,25,16
The Colony,28,16
Civil Brand,29,16
Feeling Minnesota,30,16
The Art of War,30,16.05
Max Payne,31,16.05
Monster-in-Law,31,16.1
Love Happens,33,16.05
The Son of No One,36,16.05
Alpha and Omega,36,16.1
Diary of a Mad Black Woman,36,16.15
The Astronaut's Wife,37,16.1
The Last Legion,37,16.15
Alexander,39,16
Illegal Tender,40,16
Priest,41,16
Stolen,43,16
Not Cool,1,17
The Trouble with Romance,11,17
God's Not Dead,16,17
Downloading Nancy,19,17.05
Held Up,21,17
Saving Grace B. Jones,24,17.05
A Warrior's Heart,24,17.1
Here on Earth,25,17
Georgia Rule,25,17.05
Gloria,26,17
A Green Story,27,17
Love Forbidden,28,17
Passion of Mind,28,17.05
You Again,28,17.1
