title,metacritic,rotten_tomatoes
Everything Is Illuminated,58,66.2
The Railway Man,59,66.05
The Rock,59,66.1
Lan Yu,60,66.1
Devil's Advocate,60,66.15
Spy Game,63,66.05
Anchorman: The Legend of Ron Burgundy,63,66.1
The Hunger Games: Mockingjay - Part 1,64,66.15
Die Hard 2,67,66.05
Curse of the Golden Flower,70,66
Highlander,24,67
Fat Sick & Nearly Dead,45,67.1
How About You...,50,67.05
Noriko's Dinner Table,51,67
Penguins of Madagascar,53,67.15
S›lo con tu pareja,54,67.15
A Time to Kill,54,67.2
The Hundred-Foot Journey,55,67.3
Amen.,57,67.4
Michael Jordan to the Max,57,67.45
Police Beat,58,67.3
Edgar G. Ulmer - The Man Off-screen,58,67.35
Away We Go,58,67.4
Lawless,58,67.45
The Front Line,59,67.3
The Godfather: Part III,60,67.3
Conviction,61,67.15
On a Clear Day,62,67.25
The Year of the Yao,62,67.3
Dogma,62,67.35
Boiler Room,63,67.05
loudQUIETloud: A Film About the Pixies,63,67.1
The 11th Hour,63,67.15
Lunacy,63,67.2
Mr. Nobody,63,67.25
Good Kill,64,67.1
American Psycho,64,67.15
The Pursuit of Happyness,64,67.2
Battle for Haditha,65,67.1
The End of the Affair,65,67.15
Letters to Father Jaakob,65,67.2
Sleepy Hollow,65,67.25
Talaash,65,67.3
Stir of Echoes,67,67.15
Snow Angels,67,67.2
Berlin Babylon,67,67.25
Brotherhood,68,67.15
Theater of War,68,67.2
Good Morning Night,69,67.15
Mrs Henderson Presents,71,67.15
Benjamin Smoke,71,67.2
Deep Blue,71,67.25
Arna's Children,73,67
Notre musique,77,67
Float Like a Butterfly Sting Like a Bee,77,67.05
CSNY/D?j? Vu,54,68.15
London to Brighton,55,68
Irina Palm,55,68.05
God Bless America,56,68.15
The Chorus,56,68.2
Lila Says,57,68.1
Titus,57,68.15
Mardi Gras: Made in China,57,68.2
The Grey Zone,58,68.3
Hard Candy,58,68.35
Searching for the Wrong-Eyed Jesus,58,68.4
Cape of Good Hope,59,68.3
Seducing Doctor Lewis,59,68.35
Treasure Planet,60,68.1
The Goonies,60,68.15
Trance,61,68.2
Fast & Furious 6,61,68.25
Evil,61,68.3
The Same River Twice,62,68.3
Ted,62,68.35
Unbreakable,62,68.4
The Big Chill,62,68.45
World War Z,63,68.05
The Assassination of Richard Nixon,63,68.1
Babies,63,68.15
Closer,65,68.1
A Room for Romeo Brass,65,68.15
Before the Fall,66,68.25
The Darjeeling Limited,67,68.15
Ronin,67,68.2
Synecdoche New York,67,68.25
North Country,68,68.05
Revolutionary Road,69,68
Zero Day,69,68.05
Public Enemies,70,68.05
Japanese Story,73,68
All About Lily Chou-Chou,73,68.05
Innocence,78,68
Adam's Apples,51,69
Khadak,53,69.05
About Time,55,69.05
Turtle: The Incredible Journey,56,69.3
Religulous,56,69.35
A Bottle in the Gaza Sea,58,69.25
Bonjour Monsieur Shlomi,59,69.15
Cocaine Cowboys,59,69.2
Bride Flight,60,69.35
Fugitive Pieces,60,69.4
Red Dragon,60,69.45
Jacob's Ladder,62,69.25
The Adventures of Felix,63,69.2
Laggies,63,69.25
Sleep Furiously,64,69.2
Sunflower,64,69.25
Freedom Writers,64,69.3
Disconnect,64,69.35
Through the Fire,65,69.15
The Girl Who Played with Fire,66,69
The Edukators,68,69.05
Babel,69,69.05
Carandiru,71,69
A Scanner Darkly,73,69
In the Realms of the Unreal,74,69
Flickering Lights,47,70.05
Austin Powers: International Man of Mystery,51,70.1
Tie Me Up! Tie Me Down!,55,70.15
Mumbai Diaries,55,70.2
The Croods,55,70.25
The River,55,70.3
Jack and the Cuckoo-Clock Heart,56,70.1
The Notebook,57,70.4
Cowboy del Amor,57,70.45
Money for Nothing: Inside the Federal Reserve,57,70.5
Sherlock Holmes,57,70.55
Army of Darkness,57,70.6
Solomon & Gaenor,58,70.15
Roving Mars,58,70.2
Definitely Maybe,59,70.15
Moli?re,59,70.2
Limitless,59,70.25
Red,61,70.05
White Oleander,61,70.1
Waydowntown,63,70.3
Revenge of the Electric Car,63,70.35
Booye kafoor atre yas,63,70.4
Les Mis?rables,63,70.45
Bright Future,64,70.1
Grateful Dawg,64,70.15
Silent Waters,64,70.2
The Vicious Kind,65,70.15
I Am Legend,65,70.2
Amazing Grace,65,70.25
Melancholian 3 huonetta,67,70.05
Frequency,67,70.1
Off the Map,68,70.05
Urbania,73,70.05
The Price of Sugar,73,70.1
Liam,74,70.05
Stuff and Dough,76,70.05
Man of the Century,44,71
The Fifth Element,52,71.05
Havana Suite,55,71.45
Boy Culture,56,71
Phone Booth,56,71.05
Paul,57,71.25
Derailroaded,57,71.3
1000 Times Good Night,57,71.35
Lovely Still,57,71.4
An Affair of the Heart,57,71.45
Gozu,58,71.35
Ziggy Stardust and the Spiders from Mars,58,71.4
Captive,59,71.25
More Than a Game,59,71.3
RED,60,71.1
Oranges and Sunshine,60,71.15
Carnage,61,71.3
Deconstructing Harry,61,71.35
African Cats,61,71.4
Dead Man,61,71.45
The Game,61,71.5
The Great Water,62,71.2
Klown,62,71.25
Brigham City,62,71.3
The Parking Lot Movie,63,71.15
Invincible,63,71.2
Kiss Me Stupid,63,71.25
Rumble Fish,63,71.3
Weekend of a Champion,63,71.35
Silkwood,64,71.1
Greenwich Village: Music That Defined a Generation,65,71.3
Chopper,65,71.35
Sex and Lucia,65,71.4
The Town Is Quiet,65,71.45
Dzi Croquettes,65,71.5
Shadow Magic,66,71.1
We Are Legion: The Story of the Hacktivists,66,71.15
Schultze Gets the Blues,67,71.1
Naked Lunch,67,71.15
Enemy of the State,67,71.2
Mrs. Palfrey at the Claremont,67,71.25
Bread and Tulips,68,71.25
The Method,68,71.3
The Secret Life of Words,68,71.35
Never Let Me Go,69,71.05
The Science of Sleep,70,71.1
Waking Sleeping Beauty,70,71.15
All the Real Girls,71,71
Bubot Niyar,72,71.05
Cold Mountain,73,71.1
The Cider House Rules,75,71
The Last Station,76,71.1
28 Weeks Later,78,71
The World,81,71
Power and Terror: Noam Chomsky in Our Times,48,72
Fuel,50,72
Camp X-Ray,54,72.05
The Ring,57,72
Brotherhood of the Wolf,57,72.05
Under the Same Moon,59,72.2
The Adjustment Bureau,60,72.2
Happy Accidents,60,72.25
The Experiment,60,72.3
The War Within,61,72.2
Runaway Jury,61,72.25
Lust Caution,61,72.3
Hallam Foe,62,72.1
Vampire Hunter D: Bloodlust,62,72.15
Rio,63,72.15
Chronicles,63,72.2
The Merchant of Venice,63,72.25
True Lies,63,72.3
The Lost Boys,63,72.35
Megamind,63,72.4
A Coffee in Berlin,63,72.45
Happy Times,63,72.5
A Man Named Pearl,63,72.55
Pacific Rim,64,72.25
Eight Below,64,72.3
Paper Clips,64,72.35
Walk on Water,65,72.2
Tekkonkinkreet,65,72.25
Darfur Now,66,72.15
Lee Daniels' The Butler,66,72.2
Winter in Wartime,66,72.25
Let the Bullets Fly,66,72.3
Dinosaur 13,66,72.35
Batman,66,72.4
Russian Dolls,67,72.05
Mondovino,67,72.1
Shallow Grave,67,72.15
Stranger Than Fiction,67,72.2
Primer,68,72.05
Fracture,68,72.1
Enter the Void,69,72
Just Another Love Story,69,72.05
American Hardcore,69,72.1
Elephant,70,72.1
Training Day,70,72.15
The Curious Case of Benjamin Button,70,72.2
Girl with a Pearl Earring,72,72.05
Inland Empire,72,72.1
Truly Madly Deeply,72,72.15
Syriana,76,72
Summer Palace,79,72
The Woman Chaser,46,73
Remember the Titans,48,73
Downtown 81,52,73.05
Short Cut to Nirvana: Kumbh Mela,55,73.05
Back to the Future Part III,55,73.1
Ali Zaoua: Prince of the Streets,55,73.15
The Attorney,55,73.2
Falling Down,56,73.2
Iron Man 2,57,73.15
The Red Violin,57,73.2
The Mist,58,73.1
Tuvalu,58,73.15
Mojados: Through the Night,59,73.1
Sarah's Key,59,73.15
The Emperor's New Clothes,60,73.2
Together with You,60,73.25
A/k/a Tommy Chong,60,73.3
My Dog Skip,61,73.15
The Count of Monte Cristo,61,73.2
Julia,62,73.15
The Matrix Reloaded,62,73.2
The Life Aquatic with Steve Zissou,62,73.25
Stander,62,73.3
He Loves Me... He Loves Me Not,63,73.2
Violeta Went to Heaven,63,73.25
Frailty,64,73.2
Prometheus,65,73.25
The Last Kiss,65,73.3
Paradise: Love,65,73.35
A.I. Artificial Intelligence,65,73.4
In the Valley of Elah,65,73.45
Infinitely Polar Bear,65,73.5
12 and Holding,65,73.55
The Amazing Spider-Man,66,73.15
Son of Rambow,66,73.2
Zelary,66,73.25
Fellini: I'm a Born Liar,67,73.2
Alive Inside,67,73.25
The Italian Job,68,73.15
Infamous,68,73.2
Chicken with Plums,70,73.2
To the Limit,71,73.15
Climates,72,73
The Stone Roses: Made of Stone,73,73.05
The Dinner Game,73,73.1
One,75,73.05
Soul Kitchen,76,73
Flags of Our Fathers,79,73
The Piano Teacher,79,73.05
Before Night Falls,85,73
Primal Fear,47,74
Sleepers,49,74
Ghost,52,74.05
The Hunting of the President,53,74.1
This Old Cub,53,74.15
The Big Uneasy,54,74
The Misfortunates,54,74.05
American Violet,56,74.05
Mifune,57,74
The Whistleblower,59,74.15
The Backyard,61,74.1
Conversations with Other Women,62,74.2
Micmacs,62,74.25
Finding Forrester,62,74.3
Loggerheads,62,74.35
Despicable Me 2,62,74.4
Tokyo!,63,74.15
Songcatcher,63,74.2
Princesas,64,74.2
Bettie Page Reveals All,64,74.25
Harold & Kumar Go to White Castle,64,74.3
Bj?rk: Biophilia Live,67,74.05
Heaven,68,74.15
Awesome; I Fuckin' Shot That!,68,74.2
The Illusionist,68,74.25
Tears of the Black Tiger,69,74.15
His Secret Life,69,74.2
Kurt Cobain About a Son,69,74.25
The Painted Veil,69,74.3
Heartbeats,70,74.2
Outsourced,70,74.25
Sunshine,71,74.2
Dolls,71,74.25
The Boys of Baraka,71,74.3
Cars,73,74.1
Behind the Sun,73,74.15
Code Unknown: Incomplete Tales of Several Journeys,74,74
Sympathy for Lady Vengeance,75,74
Amateur,53,75.05
Gangster's Paradise: Jerusalema,53,75.1
Deathtrap,54,75.05
Big Boys Gone Bananas!*,54,75.1
City of War: The Story of John Rabe,57,75.2
Just One Look,57,75.25
Luck by Chance,58,75.15
Meat Loaf: In Search of Paradise,58,75.2
Dawn of the Dead,58,75.25
J.S.A.: Joint Security Area,58,75.3
Surviving Progress,59,75.05
Korkoro,60,75.2
This Boy's Life,60,75.25
Lone Survivor,60,75.3
The Kings of Summer,61,75.25
Capitalism: A Love Story,61,75.3
American Blackout,61,75.35
The Names of Love,62,75.15
The Boxtrolls,63,75.2
Secretary,63,75.25
Amistad,63,75.3
The Way Home,63,75.35
Wedding Crashers,64,75.25
Nymphomaniac: Vol. I,64,75.3
Chinese Puzzle,64,75.35
Look Both Ways,64,75.4
The Road,64,75.45
Grass,64,75.5
The Other Side of the Street,65,75.25
Julie & Julia,66,75.15
Nixon,66,75.2
Me You Them,66,75.25
American Me,66,75.3
The Way Back,66,75.35
What's in a Name?,66,75.4
The Adventures of Tintin,68,75.05
The Inheritance,68,75.1
Praying with Lior,68,75.15
Pierrepoint: The Last Hangman,68,75.2
Adorenarin doraibu,69,75.05
Out in the Dark,69,75.1
Crash,69,75.15
Quills,70,75
Doin' It in the Park: Pick-Up Basketball NYC,71,75.1
House of Sand and Fog,71,75.15
Pieta,72,75
Gangs of New York,72,75.05
Tuesday After Christmas,81,75
Faat Kin?,81,75.05
Safe Conduct,82,75
The Young and Prodigious T.S. Spivet,48,76
Little Manhattan,52,76.05
Tigerland,55,76.05
Brother to Brother,57,76.1
The Wildest Dream,57,76.15
The Contender,59,76.1
Reconstruction,60,76.05
The Isle,61,76.1
Frida,61,76.15
Comedian,62,76.1
OSS 117: Cairo Nest of Spies,62,76.15
Rocky Balboa,63,76.1
City of Men,63,76.15
Summer Wars,63,76.2
Supermensch: The Legend of Shep Gordon,64,76.2
Silverado,64,76.25
The Young Victoria,64,76.3
The Horse Boy,64,76.35
St. Vincent,64,76.4
Respiro,65,76.25
Being Julia,65,76.3
Strange Powers: Stephin Merritt and the Magnetic Fields,66,76.25
Transamerica,66,76.3
Moulin Rouge!,66,76.35
Stardust,66,76.4
Kick-Ass,66,76.45
A Guide to Recognizing Your Saints,67,76.05
Time to Leave,67,76.1
The Ambassador,67,76.15
Winter Sleepers,68,76.1
We Need to Talk About Kevin,68,76.15
The Assassination of Jesse James by the Coward Robert Ford,68,76.2
Joyeux Noel,70,76.1
Marion Bridge,71,76.1
Bronson,71,76.15
Mansfield Park,71,76.2
Black Book,71,76.25
Igby Goes Down,72,76.05
Match Point,72,76.1
12,72,76.15
I'm Not There.,73,76.05
Cape Fear,73,76.1
Kundun,74,76.05
Bombay Beach,74,76.1
Invictus,74,76.15
Black Hawk Down,74,76.2
The Virgin Suicides,76,76
Tropical Malady,78,76
It's All Gone Pete Tong,56,77.05
Thor,57,77.05
Mighty Aphrodite,59,77.05
Michael Collins,60,77
Kill the Messenger,60,77.05
The Other F Word,60,77.1
Ice Age,60,77.15
Body of War,60,77.2
Quitting,61,77.15
The Machinist,61,77.2
The Mudge Boy,62,77.05
Warriors of the Rainbow: Seediq Bale,62,77.1
Miss Pettigrew Lives for a Day,63,77
Bear Cub,63,77.05
Cloverfield,64,77.15
Or (My Treasure),64,77.2
Team America: World Police,64,77.25
Hey Boo: Harper Lee and 'To Kill a Mockingbird',64,77.3
The U.S. vs. John Lennon,64,77.35
The Lady in Question Is Charles Busch,65,77.3
Balzac and the Little Chinese Seamstress,65,77.35
L'Auberge Espagnole,65,77.4
A Letter to Momo,65,77.45
When We Leave,65,77.5
In a Better World,65,77.55
Occupation: Dreamland,66,77.2
Philadelphia,66,77.25
Bad Lieutenant,67,77.05
A League of Their Own,67,77.1
Music from the Inside Out,67,77.15
Fast Five,67,77.2
A Decade Under the Influence,67,77.25
Valentino: The Last Emperor,68,77.3
Burnt Money,68,77.35
How to Make Money Selling Drugs,68,77.4
The Cooler,69,77.1
Beautiful Darling,69,77.15
O Brother Where Art Thou?,69,77.2
Happy Together,69,77.25
Bad Santa,70,77.1
Holes,71,77
Nicholas Nickleby,71,77.05
War Horse,72,77.15
Seabiscuit,72,77.2
Predator,36,78
Barenaked in America,52,78
Mau Mau Sex Sex,53,78
Amu,54,78
Awake: The Life of Yogananda,54,78.05
Wall Street,56,78.05
Rising from Ashes,58,78.1
Big Eyes,58,78.15
Dredd,59,78
The Child I Never Was,59,78.05
Trust,60,78.15
Overnight,60,78.2
Following,60,78.25
42258,61,78.1
Metallica Through the Never,61,78.15
Love for Sale,62,78.5
Iron Man 3,62,78.55
The Best Exotic Marigold Hotel,62,78.6
Burn After Reading,63,78.2
Two Brothers,63,78.25
Three of Hearts: A Postmodern Family,63,78.3
Muriel's Wedding,63,78.35
Gaza Strip,63,78.4
Examined Life,64,78.25
Beautiful Girls,64,78.3
Fifty-Fifty,64,78.35
Home,47,0
America: Freedom to Fascism,43,27.25
Shwaas,36,40.15
The Liberator,51,40.2
Divorce Corp,39,50.25
The Ghosts in Our Machine,60,50.15
Elite Squad,33,53
The Legend of 1900,58,54.15
Hood to Coast,50,55.15
The Stoning of Soraya M.,50,57.15
Simon,59,60.2
Blood Diamond,64,62.25
Generation War,57,63.25
Peace Propaganda & the Promised Land,57,64.3
The Hobbit: An Unexpected Journey,58,64.35
The Machine Which Makes Everything Disappear,65,64.2
Pearl Jam Twenty,59,67.35
Dancer in the Dark,61,68.35
Herod's Law,64,68.15
Shutter Island,63,69.3
Dogville,59,70.3
Doing Time Doing Vipassana,64,71.15
Innocent Voices,66,71.2
Blood Brother,71,71.05
Forrest Gump,82,71
Inherent Vice,84,71
L?on: The Professional,64,72.4
Snatch.,55,73.25
V for Vendetta,62,73.35
Interstellar,74,73.05
The Hobbit: The Desolation of Smaug,66,74.3
The Intouchables,57,75.3
Workingman's Death,67,75.35
A Beautiful Mind,72,75.1
The Help,62,76.2
Gladiator,64,76.45
Lock Stock and Two Smoking Barrels,66,76.5
The Prestige,66,76.55
Becket,68,76.25
Big Fish,58,77.1
Samsara,65,77.6
Bones Brigade: An Autobiography,66,77.3
The Wolf of Wall Street,75,77.1
Tupac: Resurrection,66,78.05
Why We Fight,68,78.3
Braveheart,68,78.35
Requiem for a Dream,68,78.4
Sin City,74,78.2
Orwell Rolls in His Grave,49,79
Star Wars: Episode VI - Return of the Jedi,52,79.05
Earthwork,53,79.15
Sharkwater,59,79.1
Pirates of the Caribbean: The Curse of the Black Pearl,63,79
Se7en,65,79.15
The Raid 2,71,79.35
Gran Torino,72,79.1
My Name Is Khan,50,80.05
Life Is Beautiful,59,80.2
The Green Mile,61,80.1
Tae Guk Gi: The Brotherhood of War,64,80.5
American Sniper,66,80.15
Fight Club,66,80.2
Cinderella Man,69,80.35
The Fault in Our Stars,69,80.4
The Big Lebowski,69,80.45
Casino,73,80.2
Oldboy,74,80.25
The Untouchables,79,80.1
War Photographer,79,80.15
Under Our Skin,63,81.3
Departures,68,81.5
Dances with Wolves,72,81.25
Mulholland Drive,81,81.1
In Bruges,67,82.25
Into the Wild,73,82.2
Serenity,74,82.25
Prisoners,74,82.3
Bridegroom,85,82.05
American History X,62,83.15
Chakde! India,68,83.3
Jason Becker: Not Dead Yet,70,83.4
Warrior,71,83.45
Broadway: The Golden Age by the Legends Who Were There,72,83.55
Ip Man,59,84.1
Scarface,65,84.35
The Sea Inside,74,84.25
Magnolia,77,84.05
Kill Bill: Vol. 2,83,84.1
The Sixth Sense,64,85.15
The Perks of Being a Wallflower,67,85.4
Kill Bill: Vol. 1,69,85.45
Batman Begins,70,85.2
Donnie Darko,71,85.45
The Imitation Game,71,85.5
JFK,72,85.5
Black Cat White Cat,73,85.25
The Kingdom of Dreams and Madness,75,85.3
Dead Poets Society,79,85.1
Zero Motivation,66,86.3
Inception,74,86.4
Heat,76,86.5
Black Friday,76,86.55
The Last Lions,69,87.3
Earth,72,87.2
3-Iron,72,87.25
The Matrix,73,87.55
Wild Tales,75,87.2
Akira,76,87.35
Black Swan,79,87.15
Life of Pi,79,87.2
Howl's Moving Castle,80,87.1
The Color of Paradise,80,87.15
The Exorcist,82,87.1
Winter Sleep,83,87
Mystic River,84,87.25
War Made Easy: How Presidents & Pundits Keep Spinning Us to Death,57,88.15
Scent of a Woman,59,88
The Komediant,63,88.05
Indiana Jones and the Last Crusade,65,88.35
Inglourious Basterds,69,88.2
The Other Dream Team,69,88.25
A Moment of Innocence,70,88.45
ShowBusiness: The Road to Broadway,73,88.25
Twelve Monkeys,74,88.25
MC5*: A True Testimonial,75,88.75
The Graduate,77,88.15
A Christmas Story,77,88.2
The Usual Suspects,77,88.25
The Dark Knight Rises,78,88.1
Gone Girl,79,88.55
Shake Hands with the Devil: The Journey of Rom?o Dallaire,80,88.2
Django Unchained,81,88.35
Turtles Can Fly,85,88.05
American Beauty,86,88.1
In Cold Blood,89,88.1
Almost Famous,90,88.05
Butch Cassidy and the Sundance Kid,58,89
Fighting for Life,64,89.1
Moon,67,89.25
Am?lie,69,89.3
Ace in the Hole,72,89.25
Rush,75,89.25
Big Hero 6,75,89.3
The Clay Bird,75,89.35
The Devil and Daniel Johnston,77,89.25
Oasis,79,89.25
Memories of Murder,82,89.2
Trainspotting,83,89.1
42 Up,86,89.15
Rain Man,65,90.1
Inequality for All,68,90.25
Devils on the Doorstep,70,90.1
Edge of Tomorrow,71,90.3
Metal: A Headbanger's Journey,73,90.3
The Corporation,73,90.35
Love Exposure,75,90.45
Guardians of the Galaxy,76,90.35
Chungking Express,77,90.35
My Flesh and Blood,78,90.2
Hotel Rwanda,79,90.4
City of God,79,90.45
Tom Dowd & the Language of Music,80,90.2
Cinema Paradiso,80,90.25
District 9,81,90.3
Mommy,81,90.35
A Walk to Beautiful,82,90.35
The Lion King,83,90.1
In the Mood for Love,85,90.15
God Grew Tired of Us,72,91.3
Stevie,72,91.35
Edward Scissorhands,74,91.25
Grin Without a Cat,81,91.25
The Secret in Their Eyes,81,91.3
Stranded: I've Come from a Plane That Crashed on the Mountains,82,91.15
Million Dollar Baby,86,91.1
Blade Runner,88,91.05
Letters from Iwo Jima,89,91.05
There Will Be Blood,92,91
The Lord of the Rings: The Fellowship of the Ring,92,91.05
Mother India,53,92
True Romance,57,92
The Shining,61,92.05
Terminator 2: Judgment Day,68,92.05
The Avengers,69,92.2
Die Hard,70,92.4
X-Men: Days of Future Past,74,92.35
Sicko,74,92.4
Shaun of the Dead,76,92.35
How to Train Your Dragon 2,76,92.4
Salaam Bombay!,78,92.15
Reservoir Dogs,78,92.2
Senna,79,92.05
Memento,80,92.25
Incendies,82,92.2
Amores Perros,83,92.35
U2 3D,83,92.4
The Departed,86,92.2
The Grand Budapest Hotel,88,92.15
Elevator to the Gallows,92,92
What We Do in the Shadows,67,93.05
Jurassic Park,68,93.3
Elite Squad: The Enemy Within,71,93.4
Paddington,72,93.15
Wolf Children,72,93.2
In Bloom,72,93.25
The Internet's Own Boy: The Story of Aaron Swartz,72,93.3
The Deer Hunter,73,93.25
The Way He Looks,74,93.1
The Hunt,76,93.2
Princess Mononoke,76,93.25
Crimes and Misdemeanors,77,93.35
Touching the Void,82,93.3
Lake of Fire,83,93.1
Dallas Buyers Club,84,93.35
No Man's Land,84,93.4
Nobody Knows,88,93
Eternal Sunshine of the Spotless Mind,89,93
The Lives of Others,89,93.05
Hannah and Her Sisters,90,93.1
Saving Private Ryan,90,93.15
Star Wars: Episode IV - A New Hope,91,93.1
The Diving Bell and the Butterfly,92,93.05
Rififi,97,93
Be Here to Love Me: A Film About Townes Van Zandt,69,94.2
Full Metal Jacket,78,94.4
Jonestown: The Life and Death of Peoples Temple,79,94.3
Pride,79,94.35
Central Station,80,94.5
Rocco and His Brothers,80,94.55
Dear Zachary: A Letter to a Son About His Father,82,94.3
Concert for George,82,94.35
In the Name of the Father,84,94.3
In the Shadow of the Moon,84,94.35
The Cove,84,94.4
The Silence of the Lambs,84,94.45
The Bourne Ultimatum,85,94.2
Fargo,85,94.25
Children Underground,85,94.3
Slumdog Millionaire,86,94.2
The King's Speech,88,94.15
Birdman,89,94.05
The Truman Show,90,94.1
Her,90,94.15
Secrets & Lies,91,94
No Country for Old Men,91,94.05
Days of Heaven,93,94.05
Pulp Fiction,94,94
The Lord of the Rings: The Return of the King,94,94.05
End of the Century,74,95.15
Infernal Affairs,75,95.15
Nightcrawler,76,95.1
Searching for Sugar Man,79,95.05
Charlie: The Life and Art of Charles Chaplin,80,95.1
Casino Royale,81,95.2
Pete Seeger: The Power of Song,81,95.25
Marley,82,95.25
Unforgiven,82,95.3
Star Trek,83,95.05
49 Up,84,95.1
Lagaan: Once Upon a Time in India,84,95.15
Spring Summer Fall Winter... and Spring,85,95.15
Los Angeles Plays Itself,86,95
Nothing But a Man,87,95.1
The Act of Killing,89,95.05
No End in Sight,89,95.1
The Best of Youth,89,95.15
Before Sunset,90,95
Ran,90,95.05
Raiders of the Lost Ark,90,95.1
Le Cercle Rouge,91,95.05
Crumb,93,95
Amadeus,93,95.05
Pan's Labyrinth,98,95
Bowling for Columbine,72,96.05
The Cats of Mirikitani,73,96.05
Life of Brian,75,96.35
Catch Me If You Can,76,96.1
Monsters Inc.,78,96.2
Star Wars: Episode V - The Empire Strikes Back,78,96.25
The Crash Reel,79,96.15
One Flew Over the Cuckoo's Nest,79,96.2
Promises,80,96.35
Winged Migration,82,96.25
The King of Kong: A Fistful of Quarters,83,96.25
Sling Blade,84,96.15
Sound and Fury,85,96.15
Exit Through the Gift Shop,85,96.2
The Pianist,85,96.25
The Straight Story,86,96.2
2001: A Space Odyssey,86,96.25
Back to the Future,86,96.3
Harry Potter and the Deathly Hallows: Part 2,87,96.15
Whiplash,87,96.2
The Lord of the Rings: The Two Towers,88,96.25
High Noon,89,96.05
Goodfellas,89,96.1
Persepolis,90,96
Solaris,90,96.05
Waltz with Bashir,91,96.1
Umberto D.,92,96.05
La Dolce Vita,93,96
WALL£E,94,96.05
Ratatouille,96,96
Good Will Hunting,70,97.05
Groundhog Day,72,97.2
The Princess Bride,77,97.2
Burma VJ: Reporter i et lukket land,82,97.1
Alien,83,97.35
Once,88,97.05
Citizenfour,88,97.1
Stop Making Sense,89,97
Monty Python and the Holy Grail,90,97.15
The Good the Bad and the Ugly,90,97.2
Werckmeister Harmonies,92,97.05
Schindler's List,93,97.05
Spirited Away,94,97.1
Gravity,96,97
The Army of Shadows,99,97
Mea Maxima Culpa: Silence in the House of God,73,98.05
The Song of Sparrows,74,98
How to Train Your Dragon,74,98.05
Roman Holiday,76,98.05
Jaws,79,98
Wings of Desire,79,98.05
Jodorowsky's Dune,79,98.1
Once Upon a Time in the West,80,98.15
The Revolution Will Not Be Televised,81,98.1
Let the Right One In,82,98.05
Manhattan,82,98.1
Anvil: The Story of Anvil,82,98.15
When We Were Kings,83,98.2
Blackfish,83,98.25
The Conversation,86,98.3
Chinatown,86,98.35
Das Boot,86,98.4
Life Itself,87,98.1
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,87,98.15
Aliens,87,98.2
Brazil,88,98.05
The Last Waltz,88,98.1
Up,88,98.15
Inside Job,88,98.2
The Artist,89,98
Patton,91,98.05
Raging Bull,92,98
The Discreet Charm of the Bourgeoisie,93,98
Taxi Driver,93,98.05
Before Midnight,94,98.05
The Manchurian Candidate,94,98.1
Hoop Dreams,98,98
The Night of the Hunter,99,98
Sweet Smell of Success,100,98
Rivers and Tides: Andy Goldsworthy Working with Time,82,99.05
The Twilight Samurai,82,99.1
Finding Nemo,90,99
L.A. Confidential,90,99.05
Apocalypse Now,90,99.1
Toy Story 3,92,99
The Battle of Algiers,94,99
A Separation,95,99
Metropolis,98,99
The Wizard of Oz,100,99
Lawrence of Arabia,100,99.05
Boyhood,100,99.1
3 Idiots,67,100.25
Hearts and Minds,68,100.4
McConkey,68,100.45
American Radical: The Trials of Norman Finkelstein,71,100.35
Next Goal Wins,71,100.4
The Battered Bastards of Baseball,75,100.2
World on a Wire,76,100.4
About Elly,76,100.45
Before Sunrise,77,100.5
The Fearless Freaks,78,100.65
The Thin Blue Line,79,100.2
Harlan County U.S.A.,80,100.25
Short Term 12,82,100.35
Taxi to the Dark Side,82,100.4
That Obscure Object of Desire,84,100.2
The Terminator,84,100.25
The Square,84,100.3
Street Fight,85,100.2
Deliver Us from Evil,86,100.1
The King and the Mockingbird,86,100.15
The Spirit of the Beehive,87,100.15
I Vitelloni,87,100.2
On the Waterfront,88,100.25
Investigation of a Citizen Above Suspicion,89,100.25
The Tale of The Princess Kaguya,89,100.3
My Voyage to Italy,90,100.2
The Look of Silence,91,100.1
Toy Story,92,100.1
We Were Here,94,100.05
Virunga,95,100
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,96,100
Modern Times,96,100.05
The Adventures of Robin Hood,97,100
Leviathan,99,100
Shoah,99,100.05
Seven Samurai,99,100.1
The Conformist,100,100.1
The Leopard,100,100.15
Fanny and Alexander,100,100.2
The Power of Nightmares: The Rise of the Politics of Fear,78,86.25
The Shawshank Redemption,80,91.15
The Dark Knight,82,94.4
The Godfather: Part II,80,99
The Godfather,100,100.25
